ID,Label
501,1
502,1
503,0
504,0
505,0
506,0
507,0
508,1
509,1
510,0
511,1
512,0
513,0
514,0
515,0
516,1
517,1
518,1
519,0
520,0
521,1
522,1
523,1
524,0
525,1
526,1
527,1
528,0
529,0
530,0
531,0
532,0
533,0
534,1
535,1
536,1
537,1
538,1
539,0
540,1
541,0
542,1
543,1
544,0
545,1
546,0
547,1
548,1
549,0
550,0
551,0
552,1
553,1
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,1
562,1
563,1
564,1
565,1
566,0
567,1
568,0
569,1
570,1
571,0
572,0
573,0
574,1
575,0
576,1
577,0
578,1
579,1
580,1
581,1
582,0
583,0
584,0
585,0
586,0
587,0
588,1
589,1
590,1
591,1
592,0
593,0
594,0
595,0
596,0
597,0
598,1
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,1
608,0
609,0
610,0
611,0
612,1
613,0
614,0
615,1
616,0
617,0
618,1
619,0
620,1
621,0
622,0
623,0
624,1
625,0
626,0
627,1
628,0
629,1
630,0
631,0
632,0
633,1
634,0
635,0
636,1
637,0
638,0
639,0
640,0
641,1
642,0
643,1
644,0
645,1
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,1
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,1
665,0
666,0
667,0
668,0
669,0
670,1
671,0
672,1
673,0
674,0
675,0
676,0
677,1
678,1
679,0
680,0
681,0
682,0
683,0
684,0
685,1
686,0
687,1
688,1
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,1
697,0
698,0
699,1
700,1
701,0
702,0
703,0
704,0
705,1
706,0
707,0
708,0
709,1
710,0
711,1
712,1
713,0
714,0
715,1
716,0
717,1
718,0
719,0
720,0
721,0
722,1
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,1
733,0
734,0
735,0
736,0
737,0
738,0
739,1
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,1
749,1
750,1
751,0
752,0
753,1
754,0
755,0
756,1
757,0
758,1
759,0
760,1
761,0
762,0
763,0
764,0
765,0
766,0
767,1
768,0
769,1
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,1
782,0
783,0
784,0
785,0
786,0
787,1
788,1
789,0
790,0
791,0
792,0
793,1
794,1
795,1
796,1
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,1
810,1
