ID,Label
501,1
502,1
503,0
504,1
505,1
506,1
507,1
508,1
509,0
510,0
511,1
512,0
513,0
514,0
515,0
516,0
517,1
518,1
519,0
520,0
521,1
522,0
523,1
524,1
525,0
526,0
527,0
528,1
529,0
530,0
531,0
532,0
533,0
534,1
535,1
536,1
537,1
538,1
539,0
540,1
541,0
542,1
543,1
544,0
545,1
546,0
547,1
548,1
549,0
550,0
551,0
552,1
553,1
554,0
555,0
556,0
557,0
558,1
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,1
569,0
570,0
571,0
572,0
573,0
574,1
575,0
576,0
577,0
578,0
579,1
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,1
593,1
594,0
595,0
596,0
597,0
598,1
599,0
600,1
601,0
602,1
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,1
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,1
625,0
626,0
627,1
628,0
629,1
630,0
631,0
632,0
633,1
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,1
648,0
649,0
650,0
651,0
652,1
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,1
665,0
666,1
667,0
668,0
669,0
670,0
671,0
672,1
673,0
674,0
675,0
676,0
677,1
678,0
679,1
680,0
681,1
682,0
683,0
684,0
685,0
686,0
687,1
688,0
689,0
690,1
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,1
721,0
722,0
723,1
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,1
746,0
747,1
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,1
756,0
757,0
758,0
759,0
760,1
761,0
762,0
763,0
764,0
765,0
766,1
767,0
768,0
769,0
770,0
771,0
772,0
773,1
774,1
775,1
776,0
777,1
778,0
779,0
780,1
781,1
782,0
783,0
784,0
785,0
786,0
787,1
788,1
789,0
790,0
791,0
792,1
793,0
794,1
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,1
803,1
804,0
805,1
806,1
807,0
808,0
809,0
810,1
